Timestamp Username IP_Adress Downloaded_data Uploaded_data Billing_status
2024-08-03 08:22:30 bob 192.168.1.6 99 19 Billed
2024-08-03 09:03:30 bob 192.168.1.5 246 49 Billed
2024-08-03 09:05:30 eve 192.168.1.2 466 93 Unbilled
2024-08-03 09:29:30 eve 192.168.1.4 256 51 Unbilled
2024-08-03 10:29:30 alice 192.168.1.3 292 58 Unbilled
2024-08-03 11:17:30 david 192.168.1.3 343 68 Billed
2024-08-03 11:47:30 alice 192.168.1.6 472 94 Billed
2024-08-03 12:13:30 eve 192.168.1.3 232 46 Billed
2024-08-03 13:08:30 alice 192.168.1.2 55 11 Unbilled
2024-08-03 13:37:30 david 192.168.1.6 266 53 Unbilled
2024-08-03 13:50:30 alice 192.168.1.6 316 63 Unbilled
2024-08-03 14:24:30 bob 192.168.1.3 285 57 Billed
2024-08-03 14:41:30 david 192.168.1.6 275 55 Unbilled
2024-08-03 14:48:30 charlie 192.168.1.2 212 42 Unbilled
2024-08-03 14:58:30 bob 192.168.1.3 193 38 Billed
2024-08-03 15:23:30 eve 192.168.1.4 255 51 Unbilled
2024-08-03 16:19:30 eve 192.168.1.3 144 28 Billed
2024-08-03 16:59:30 david 192.168.1.2 142 28 Billed
2024-08-03 17:51:30 david 192.168.1.4 369 73 Unbilled
2024-08-03 18:23:30 alice 192.168.1.2 348 69 Billed
2024-08-03 18:26:30 alice 192.168.1.2 50 10 Unbilled
2024-08-03 19:01:30 eve 192.168.1.2 436 87 Unbilled
2024-08-03 19:08:30 david 192.168.1.2 139 27 Unbilled
2024-08-03 19:59:30 eve 192.168.1.6 275 55 Unbilled
2024-08-03 20:49:30 bob 192.168.1.4 261 52 Unbilled
2024-08-03 21:30:30 david 192.168.1.6 409 81 Unbilled
2024-08-03 21:33:30 bob 192.168.1.5 419 83 Billed
2024-08-03 21:50:30 charlie 192.168.1.6 364 72 Unbilled
2024-08-03 22:48:30 david 192.168.1.6 336 67 Unbilled
2024-08-03 23:18:30 bob 192.168.1.6 150 30 Unbilled
2024-08-03 23:28:30 bob 192.168.1.5 199 39 Unbilled
2024-08-04 00:03:30 charlie 192.168.1.2 353 70 Billed
2024-08-04 00:38:30 bob 192.168.1.2 248 49 Unbilled
2024-08-04 00:52:30 david 192.168.1.6 374 74 Billed
2024-08-04 01:13:30 alice 192.168.1.3 343 68 Unbilled
2024-08-04 01:18:30 eve 192.168.1.3 154 30 Unbilled
2024-08-04 02:07:30 alice 192.168.1.4 385 77 Unbilled
2024-08-04 02:54:30 david 192.168.1.4 482 96 Unbilled
2024-08-04 03:23:30 eve 192.168.1.3 314 62 Unbilled
2024-08-04 03:53:30 charlie 192.168.1.6 70 14 Billed
2024-08-04 04:07:30 bob 192.168.1.5 217 43 Unbilled
2024-08-04 04:22:30 eve 192.168.1.5 416 83 Billed
2024-08-04 04:54:30 alice 192.168.1.2 479 95 Billed
2024-08-04 05:50:30 bob 192.168.1.5 152 30 Billed
2024-08-04 06:47:30 charlie 192.168.1.3 339 67 Billed
2024-08-04 06:59:30 alice 192.168.1.3 317 63 Billed
2024-08-04 07:24:30 alice 192.168.1.6 162 32 Billed
2024-08-04 07:28:30 charlie 192.168.1.4 343 68 Billed
2024-08-04 07:49:30 david 192.168.1.6 70 14 Unbilled
2024-08-04 08:15:30 eve 192.168.1.3 329 65 Billed
2024-08-04 08:48:30 david 192.168.1.4 485 97 Billed
2024-08-04 09:43:30 david 192.168.1.4 108 21 Unbilled
2024-08-04 10:20:30 eve 192.168.1.6 50 10 Unbilled
2024-08-04 10:27:30 alice 192.168.1.3 409 81 Billed
2024-08-04 10:48:30 eve 192.168.1.2 224 44 Unbilled
2024-08-04 11:20:30 alice 192.168.1.3 56 11 Billed
2024-08-04 11:57:30 charlie 192.168.1.4 212 42 Unbilled
2024-08-04 12:18:30 bob 192.168.1.2 125 25 Unbilled
2024-08-04 12:41:30 eve 192.168.1.3 188 37 Unbilled
2024-08-04 13:28:30 eve 192.168.1.6 243 48 Unbilled
2024-08-04 14:11:30 david 192.168.1.4 371 74 Billed
2024-08-04 14:23:30 charlie 192.168.1.2 267 53 Billed
2024-08-04 14:50:30 charlie 192.168.1.5 103 20 Unbilled
2024-08-04 14:51:30 bob 192.168.1.2 358 71 Billed
2024-08-04 15:14:30 charlie 192.168.1.5 427 85 Billed
2024-08-04 16:09:30 alice 192.168.1.4 65 13 Billed
2024-08-04 16:20:30 alice 192.168.1.6 191 38 Unbilled
2024-08-04 17:13:30 charlie 192.168.1.6 135 27 Billed
2024-08-04 17:33:30 david 192.168.1.5 89 17 Billed
2024-08-04 18:22:30 alice 192.168.1.2 73 14 Unbilled
2024-08-04 18:30:30 alice 192.168.1.5 83 16 Unbilled
2024-08-04 19:21:30 alice 192.168.1.2 166 33 Unbilled
2024-08-04 19:37:30 eve 192.168.1.4 86 17 Billed
2024-08-04 19:48:30 eve 192.168.1.6 474 94 Unbilled
2024-08-04 20:31:30 eve 192.168.1.2 366 73 Billed
2024-08-04 20:59:30 charlie 192.168.1.6 404 80 Unbilled
2024-08-04 21:16:30 bob 192.168.1.3 461 92 Billed
2024-08-04 21:48:30 david 192.168.1.4 290 58 Billed
2024-08-04 22:09:30 david 192.168.1.2 426 85 Unbilled
2024-08-04 22:36:30 eve 192.168.1.2 373 74 Unbilled
2024-08-04 23:15:30 alice 192.168.1.2 458 91 Billed
2024-08-04 23:30:30 alice 192.168.1.5 369 73 Billed
2024-08-05 00:30:30 eve 192.168.1.3 113 22 Billed
2024-08-05 00:52:30 alice 192.168.1.2 301 60 Unbilled
2024-08-05 01:18:30 bob 192.168.1.5 198 39 Unbilled
2024-08-05 02:04:30 bob 192.168.1.5 337 67 Billed
2024-08-05 02:12:30 eve 192.168.1.4 224 44 Unbilled
2024-08-05 03:09:30 bob 192.168.1.6 307 61 Billed
2024-08-05 03:41:30 david 192.168.1.6 58 11 Billed
2024-08-05 04:07:30 charlie 192.168.1.6 389 77 Unbilled
2024-08-05 04:22:30 alice 192.168.1.5 106 21 Billed
2024-08-05 05:06:30 david 192.168.1.2 222 44 Billed
2024-08-05 05:38:30 alice 192.168.1.5 228 45 Billed
2024-08-05 05:51:30 alice 192.168.1.5 339 67 Billed
2024-08-05 06:11:30 bob 192.168.1.2 109 21 Billed
2024-08-05 06:18:30 eve 192.168.1.6 431 86 Billed
2024-08-05 06:58:30 charlie 192.168.1.3 344 68 Unbilled
2024-08-05 07:33:30 bob 192.168.1.3 55 11 Billed
2024-08-05 07:45:30 jack 192.168.1.4 302 60 Unbilled
2024-08-05 08:26:30 bob 192.168.1.5 307 61 Billed
2024-08-05 08:55:30 bob 192.168.1.2 406 81 Unbilled
2024-08-05 09:54:30 david 192.168.1.3 150 30 Unbilled
2024-08-05 10:38:30 charlie 192.168.1.2 411 82 Unbilled
2024-08-05 10:45:30 charlie 192.168.1.2 368 73 Unbilled
2024-08-05 11:18:30 alice 192.168.1.5 216 43 Billed
2024-08-05 11:47:30 alice 192.168.1.2 294 58 Billed
2024-08-05 12:00:30 bob 192.168.1.5 366 73 Unbilled
2024-08-05 12:07:30 bob 192.168.1.6 307 61 Unbilled
2024-08-05 12:36:30 charlie 192.168.1.3 342 68 Billed
2024-08-05 12:39:30 alice 192.168.1.5 89 17 Unbilled
2024-08-05 13:20:30 charlie 192.168.1.5 100 20 Billed
2024-08-05 13:46:30 bob 192.168.1.5 79 15 Billed
2024-08-05 14:25:30 eve 192.168.1.3 474 94 Billed
2024-08-05 15:16:30 bob 192.168.1.2 77 15 Unbilled
2024-08-05 16:04:30 alice 192.168.1.2 59 11 Billed
2024-08-05 17:02:30 jack 192.168.1.4 144 28 Unbilled
2024-08-05 17:24:30 eve 192.168.1.2 89 17 Billed
2024-08-05 18:06:30 david 192.168.1.3 197 39 Unbilled
2024-08-05 18:27:30 charlie 192.168.1.4 303 60 Billed
2024-08-05 18:30:30 bob 192.168.1.3 144 28 Billed
2024-08-05 19:25:30 bob 192.168.1.3 64 12 Billed
2024-08-05 20:11:30 david 192.168.1.4 238 47 Unbilled
2024-08-05 20:53:30 eve 192.168.1.3 165 33 Billed
2024-08-05 21:40:30 eve 192.168.1.2 418 83 Billed
2024-08-05 22:09:30 eve 192.168.1.2 97 19 Billed
2024-08-05 23:05:30 bob 192.168.1.6 60 12 Billed
2024-08-06 00:04:30 david 192.168.1.4 174 34 Unbilled
2024-08-06 00:13:30 bob 192.168.1.4 146 29 Billed
2024-08-06 00:55:30 alice 192.168.1.4 330 66 Unbilled
2024-08-06 01:31:30 charlie 192.168.1.5 242 48 Unbilled
2024-08-06 01:51:30 charlie 192.168.1.3 230 46 Billed
2024-08-06 02:40:30 charlie 192.168.1.5 331 66 Billed
2024-08-06 03:23:30 charlie 192.168.1.4 241 48 Billed
2024-08-06 04:18:30 charlie 192.168.1.2 449 89 Unbilled
2024-08-06 05:09:30 eve 192.168.1.2 232 46 Unbilled
2024-08-06 05:35:30 alice 192.168.1.6 260 52 Billed
2024-08-06 06:31:30 charlie 192.168.1.4 194 38 Unbilled
2024-08-06 07:04:30 bob 192.168.1.4 140 28 Billed
2024-08-06 07:09:30 bob 192.168.1.5 323 64 Unbilled
2024-08-06 07:45:30 jack 192.168.1.2 452 90 Unbilled
2024-08-06 08:06:30 charlie 192.168.1.6 320 64 Unbilled
2024-08-06 08:15:30 alice 192.168.1.6 257 51 Billed
2024-08-06 08:40:30 david 192.168.1.6 71 14 Billed
2024-08-06 09:39:30 charlie 192.168.1.3 288 57 Billed
2024-08-06 10:17:30 bob 192.168.1.6 352 70 Billed
2024-08-06 10:47:30 eve 192.168.1.5 241 48 Unbilled
2024-08-06 11:15:30 bob 192.168.1.2 358 71 Billed
2024-08-06 12:05:30 alice 192.168.1.5 100 20 Unbilled
2024-08-06 12:47:30 alice 192.168.1.3 363 72 Unbilled
2024-08-06 13:41:30 eve 192.168.1.2 98 19 Billed
2024-08-06 14:11:30 charlie 192.168.1.2 263 52 Unbilled
2024-08-06 15:10:30 bob 192.168.1.5 281 56 Unbilled
2024-08-06 16:07:30 charlie 192.168.1.3 365 73 Unbilled
2024-08-06 17:04:30 eve 192.168.1.3 493 98 Billed
2024-08-06 17:23:30 charlie 192.168.1.6 52 10 Unbilled
2024-08-06 17:47:30 bob 192.168.1.4 247 49 Unbilled
2024-08-06 18:12:30 bob 192.168.1.4 69 13 Billed
2024-08-06 18:44:30 alice 192.168.1.4 57 11 Unbilled
2024-08-06 18:48:30 alice 192.168.1.3 215 43 Billed
2024-08-06 19:09:30 charlie 192.168.1.2 384 76 Billed
2024-08-06 20:04:30 eve 192.168.1.6 488 97 Unbilled
2024-08-06 20:26:30 alice 192.168.1.3 390 78 Billed
2024-08-06 20:33:30 bob 192.168.1.6 203 40 Billed
2024-08-06 21:03:30 bob 192.168.1.3 479 95 Unbilled
2024-08-06 21:48:30 charlie 192.168.1.6 87 17 Unbilled
2024-08-06 22:05:30 bob 192.168.1.2 224 44 Billed
2024-08-06 22:19:30 eve 192.168.1.5 135 27 Unbilled
2024-08-06 23:13:30 bob 192.168.1.3 220 44 Unbilled
2024-08-07 00:00:30 charlie 192.168.1.6 126 25 Unbilled
2024-08-07 00:24:30 alice 192.168.1.2 218 43 Billed
2024-08-07 00:26:30 jack 192.168.1.2 387 77 Billed
2024-08-07 00:40:30 bob 192.168.1.3 499 99 Billed
2024-08-07 01:37:30 charlie 192.168.1.6 225 45 Billed
2024-08-07 02:04:30 alice 192.168.1.5 161 32 Billed
2024-08-07 02:57:30 bob 192.168.1.5 425 85 Billed
2024-08-07 03:30:30 alice 192.168.1.6 283 56 Billed
2024-08-07 03:49:30 charlie 192.168.1.2 288 57 Unbilled
2024-08-07 04:41:30 alice 192.168.1.4 408 81 Unbilled
2024-08-07 04:50:30 eve 192.168.1.2 458 91 Billed
2024-08-07 05:13:30 charlie 192.168.1.4 234 46 Unbilled
2024-08-07 06:03:30 bob 192.168.1.4 368 73 Billed
2024-08-07 06:21:30 eve 192.168.1.3 439 87 Unbilled
2024-08-07 07:02:30 charlie 192.168.1.6 491 98 Billed
2024-08-07 07:38:30 alice 192.168.1.6 59 11 Unbilled
2024-08-07 07:45:30 charlie 192.168.1.6 101 20 Billed
2024-08-07 08:15:30 bob 192.168.1.6 86 17 Unbilled
2024-08-07 08:50:30 alice 192.168.1.5 394 78 Unbilled
2024-08-07 09:39:30 eve 192.168.1.4 105 21 Billed
2024-08-07 10:23:30 david 192.168.1.3 135 27 Unbilled
2024-08-07 11:02:30 eve 192.168.1.6 104 20 Unbilled
2024-08-07 11:31:30 eve 192.168.1.3 352 70 Unbilled
2024-08-07 11:47:30 charlie 192.168.1.6 438 87 Billed
2024-08-07 12:12:30 bob 192.168.1.4 383 76 Unbilled
2024-08-07 13:01:30 jack 192.168.1.2 307 61 Billed
2024-08-07 13:23:30 david 192.168.1.3 92 18 Billed
2024-08-07 13:48:30 david 192.168.1.2 258 51 Unbilled
2024-08-07 14:37:30 david 192.168.1.5 180 36 Unbilled
2024-08-07 14:59:30 david 192.168.1.6 433 86 Unbilled
2024-08-07 15:42:30 bob 192.168.1.4 137 27 Unbilled
2024-08-07 15:53:30 charlie 192.168.1.4 97 19 Unbilled
2024-08-07 16:39:30 alice 192.168.1.4 81 16 Unbilled
2024-08-07 16:56:30 eve 192.168.1.4 148 29 Billed
2024-08-07 17:09:30 eve 192.168.1.3 144 28 Unbilled
